"Dummy header, was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,2,1,"BL16I-PS-RIHL-01:CR1:M02:S1","OH1 RESTRICTED","INDICATOR","HEALTHY LATCH","serial","no"," "," ",0
2,2,2,"BL16I-PS-ASB-01:CR1:M02:S2"," ","OH1 SEARCH","POINT 1 LATCH","serial","no"," "," ",1
3,2,3,"BL16I-PS-ASB-02:CR1:M02:S3"," ","OH1 SEARCH","POINT 2 LATCH","serial","no"," "," ",2
4,2,4,"BL16I-PS-DS-04:CR1:M02:S4"," ","OH1","SEARCH GATE","serial","no"," "," ",3
5,1,1,"BL16I-PS-ASB-03:CR1:M01:S1"," ","OH1 SEARCH","POINT 3 LATCH","dup","no"," "," ",4
6,1,2,"BL16I-PS-ASB-03:CR1:M01:S2"," ","OH1 SEARCH","POINT 3 LATCH","dup","no"," "," ",5
7,2,0,"BL16I-PS-IOC-01","LOP 12 OH1 SEARCH","GATE CLOSED ONCE","BL16I-PS-DS-04","lop","no"," "," ",4
8,1,3,"BL16I-PS-ASB-04:CR1:M01:S3"," ","OH1 SEARCH","POINT 4 LATCH","serial","no"," "," ",6
9,1,4,"BL16I-PS-ASBF-01:CR1:M01:S4","OH1 LAST AREA","SEARCH POINT","LATCH","serial","no"," "," ",8
10,3,3,"BL16I-PS-SCDEO-01:CR1:M03:S3","OH1 SEARCH","COMPLETE  DELAY","TO ENABLE OVER","dup","no"," "," ",9
11,3,4,"BL16I-PS-SCDEO-01:CR1:M03:S4","OH1 SEARCH","COMPLETE  DELAY","TO ENABLE OVER","dup","no"," "," ",10
12,3,0,"BL16I-PS-IOC-01","LOP 4","OH1 HUTCH","SEARCHED & CLOSED","lop","no"," "," ",11
13,1,0,"BL16I-PS-IOC-01","LOP 3","OH1","SEARCH COMPLETE","lop","no"," "," ",9
