"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"gap","gap","gap","gap","gap","no"," "," ",0
1,7,1,"BL12I-PS-ANALA-05:CR3:M07:S1","OH3 BL12I-PS-ANNUN-05","ANNUNCIATOR","ALARM","serial","no"," "," ",0
2,0,0,"gap","gap","gap","gap","gap","no"," "," ",1
3,7,2,"BL12I-PS-BOBIA-05:CR3:M07:S2","OH3","BEAM OFF BUTTON","INDICATORS ALARM","serial","no"," "," ",2
4,0,0,"gap","gap","gap","gap","gap","no"," "," ",3
5,7,3,"BL12I-PS-LOWAL-05:CR3:M07:S3","OH3","LOW LEVEL","ALARM","serial","no"," "," ",4
6,0,0,"gap","gap","gap","gap","gap","no"," "," ",5
7,7,4,"BL12I-PS-FALT2-02:CR3:M07:S4","OH3 BL12I-PS-SHTR-03","SHUTTER FAULT","OR BL DISCONNECTED","serial","no"," "," ",6
8,0,0,"gap","gap","gap","gap","gap","no"," "," ",7
9,11,1,"BL12I-PS-ANALA-06:CR3:M11:S1","EH2 BL12I-PS-ANNUN-06","ANNUN. & BEAM ON","INDICATORS ALARM","serial","no"," "," ",8
10,0,0,"gap","gap","gap","gap","gap","no"," "," ",9
11,11,2,"BL12I-PS-BOBIA-06:CR3:M11:S2","EH2","BEAM OFF BUTTON","INDICATORS ALARM","serial","no"," "," ",10
12,0,0,"gap","gap","gap","gap","gap","no"," "," ",11
13,14,1,"BL12I-PS-LOWAL-06:CR3:M14:S1","EH2","LOW LEVEL","ALARM","serial","no"," "," ",12
14,0,0,"gap","gap","gap","gap","gap","no"," "," ",13
15,14,2,"BL12I-PS-J3PI-04:CR3:M14:S2","EH2","BL12I-PS-SHTR-04","J3 PLUGGED IN","serial","no"," "," ",14
