"CVS Info: $Id: SR04C-PS-interlocksSet.csv,v 1.1.1.1 2006/03/20 16:32:20 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,5,3,"SR04C-PS-VDCO-01"," ","VAULT DOOR","CRASHOUT","dup","no"," "," ",0
2,5,4,"SR04C-PS-VDCO-02"," ","VAULT DOOR","CRASHOUT","dup","no"," "," ",1
3,6,1,"SR04C-PS-BOB-01"," "," ","BOB","serial","no"," "," ",2
4,6,2,"SR04C-PS-SENKY-01"," ","SEARCH","ENABLE KEY","serial","no"," "," ",3
5,5,1,"SR04C-PS-ZGATE-01"," ","ZONE 1-2","GATE","serial","no"," "," ",4
6,5,2,"SR04C-PS-ZGATE-02"," ","ZONE 2-3","GATE","serial","no"," "," ",5
7,4,1,"SR04C-PS-SCMP-03"," ","NOT SEARCH","COMPLETE","serial","no"," "," ",6
8,4,2,"SR04C-PS-RLMP-01"," ","RESTRICTED","LAMP ON","serial","no","SR04C-PS-restrictedLamp.edl"," ",7
9,7,1,"SR04C-PS-LDCL-01"," ","LOBBY DOOR","CLOSED","serial","no"," "," ",6
10,7,2,"SR04C-PS-LTDAC-04"," "," ","LTD ACCESS","serial","yes","SR04C-PS-notLtdAccess.edl"," ",9
11,6,3,"SR04C-PS-VDCL-01"," ","VAULT DOOR","CLOSED","dup","no"," "," ",6
12,6,4,"SR04C-PS-VDCL-02"," ","VAULT DOOR","CLOSED","dup","yes"," "," ",11
13,6,0,"SR04C-PS-IOC-01"," ","LOP3","INTERLOCKS SET","lop","yes"," "," ",8
